Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,550	14,836	0,660	5,027	0,3542	0,016	0,120	3,550	12,460	-30,096	-140,115	0,2975	-0,718	-3,345	3,550	8,756	40,181	-92,991	0,2090	0,959	-2,220
3,600	14,882	0,927	-1,728	0,3553	0,022	-0,041	3,600	10,788	-36,333	-114,825	0,2576	-0,867	-2,741	3,600	10,648	34,950	-115,611	0,2542	0,834	-2,760
3,650	14,929	0,487	-9,896	0,3564	0,012	-0,236	3,650	8,826	-41,579	-92,206	0,2107	-0,993	-2,201	3,650	12,251	28,620	-133,989	0,2925	0,683	-3,199
3,700	14,930	-0,063	-28,746	0,3564	-0,001	-0,686	3,700	6,630	-45,553	-67,858	0,1583	-1,087	-1,620	3,700	13,510	21,551	-147,184	0,3225	0,514	-3,514
3,750	14,923	-2,388	-88,593	0,3563	-0,057	-2,115	3,750	4,271	-48,365	-41,626	0,1020	-1,155	-0,994	3,750	14,406	13,902	-157,394	0,3439	0,332	-3,758
3,800	14,692	-8,922	-152,053	0,3507	-0,213	-3,630	3,800	1,794	-49,716	-9,268	0,0428	-1,187	-0,221	3,800	14,901	5,812	-162,892	0,3557	0,139	-3,889
3,850	14,030	-17,593	-167,447	0,3350	-0,420	-3,997	3,850	-0,701	-49,292	22,619	-0,0167	-1,177	0,540	3,850	14,987	-2,388	-163,206	0,3578	-0,057	-3,896
3,900	12,932	-25,667	-149,854	0,3087	-0,613	-3,578	3,900	-3,135	-47,454	52,622	-0,0748	-1,133	1,256	3,900	14,662	-10,509	-158,808	0,3500	-0,251	-3,791
3,950	11,464	-32,578	-128,962	0,2737	-0,778	-3,079	3,950	-5,446	-44,029	83,252	-0,1300	-1,051	1,987	3,950	13,936	-18,268	-149,540	0,3327	-0,436	-3,570
4,000	9,675	-38,563	-107,914	0,2310	-0,921	-2,576	4,000	-7,538	-39,129	109,799	-0,1800	-0,934	2,621	4,000	12,835	-25,463	-137,445	0,3064	-0,608	-3,281
4,050	7,607	-43,370	-83,409	0,1816	-1,035	-1,991	4,050	-9,359	-33,050	132,575	-0,2234	-0,789	3,165	4,050	11,390	-32,013	-122,051	0,2719	-0,764	-2,914
4,100	5,338	-46,904	-58,434	0,1274	-1,120	-1,395	4,100	-10,843	-25,871	151,425	-0,2589	-0,618	3,615	4,100	9,634	-37,668	-101,002	0,2300	-0,899	-2,411
4,150	2,917	-49,213	-30,316	0,0696	-1,175	-0,724	4,150	-11,946	-17,907	163,991	-0,2852	-0,428	3,915	4,150	7,623	-42,113	-78,069	0,1820	-1,005	-1,864
4,200	0,416	-49,936	-0,157	0,0099	-1,192	-0,004	4,200	-12,634	-9,472	166,819	-0,3016	-0,226	3,983	4,200	5,422	-45,475	-55,292	0,1294	-1,086	-1,320
4,250	-2,077	-49,229	28,431	-0,0496	-1,175	0,679	4,250	-12,893	-1,225	159,593	-0,3078	-0,029	3,810	4,250	3,076	-47,642	-27,646	0,0734	-1,137	-0,660
4,300	-4,507	-47,093	58,277	-0,1076	-1,124	1,391	4,300	-12,756	6,487	150,639	-0,3045	0,155	3,596	4,300	0,658	-48,239	1,414	0,0157	-1,152	0,034
