Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,460	6,866	5,890	-21,598	0,1639	0,141	-0,516
3,480	6,979	5,459	-21,598	0,1666	0,130	-0,516
3,500	7,084	5,027	-22,580	0,1691	0,120	-0,539
3,520	7,180	4,555	-24,544	0,1714	0,109	-0,586
3,540	7,267	4,045	-24,544	0,1735	0,097	-0,586
3,560	7,342	3,574	-23,562	0,1753	0,085	-0,562
3,580	7,409	3,102	-25,525	0,1769	0,074	-0,609
3,600	7,466	2,553	-26,507	0,1782	0,061	-0,633
3,620	7,512	2,042	-25,525	0,1793	0,049	-0,609
3,640	7,548	1,532	-26,507	0,1802	0,037	-0,633
3,660	7,573	0,982	-27,489	0,1808	0,023	-0,656
3,680	7,587	0,432	-26,507	0,1811	0,010	-0,633
3,700	7,590	-0,079	-24,544	0,1812	-0,002	-0,586
3,720	7,584	-0,550	-24,544	0,1810	-0,013	-0,586
3,740	7,568	-1,060	-24,544	0,1807	-0,025	-0,586
3,760	7,541	-1,532	-22,580	0,1800	-0,037	-0,539
3,780	7,507	-1,963	-23,562	0,1792	-0,047	-0,563
3,800	7,463	-2,474	-24,544	0,1782	-0,059	-0,586
3,820	7,408	-2,945	-21,598	0,1769	-0,070	-0,516
3,840	7,345	-3,338	-21,598	0,1754	-0,080	-0,516
3,860	7,274	-3,809	-22,580	0,1737	-0,091	-0,539
3,880	7,193	-4,241	-20,617	0,1717	-0,101	-0,492
3,900	7,105	-4,634	-21,598	0,1696	-0,111	-0,516
3,920	7,007	-5,105	-21,598	0,1673	-0,122	-0,516
3,940	6,901	-5,498	-18,653	0,1647	-0,131	-0,445
3,960	6,787	-5,851	-17,671	0,1620	-0,140	-0,422
3,980	6,666	-6,205	-17,671	0,1592	-0,148	-0,422
4,000	6,539	-6,558	-17,671	0,1561	-0,157	-0,422
4,020	6,404	-6,912	-16,690	0,1529	-0,165	-0,398
