Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
10.000	142.83	99.26	43.56	0.669	16.258	27.803	0.0160	0.388	0.664	27.4
10.050				1.497	10.807	-193.051	0.0357	0.258	-4.609	
10.100				1.750	-3.047	-265.936	0.0418	-0.073	-6.349	27.4
10.150				1.192	-15.787	-114.197	0.0285	-0.377	-2.726	
10.200	97.47	99.26	-1.79	0.171	-14.467	166.976	0.0041	-0.345	3.986	27.4
10.250				-0.254	0.911	288.398	-0.0061	0.022	6.885	
10.300				0.262	14.373	136.974	0.0063	0.343	3.270	27.4
10.350				1.183	14.608	-107.443	0.0282	0.349	-2.565	
10.400	143.32	99.26	44.06	1.723	3.629	-257.611	0.0411	0.087	-6.150	27.3
10.450				1.546	-11.153	-209.073	0.0369	-0.266	-4.991	
10.500				0.608	-17.279	43.511	0.0145	-0.413	1.039	27.3
10.550				-0.182	-6.802	268.606	-0.0043	-0.162	6.412	
10.600	121.29	99.26	22.03	-0.072	9.582	231.064	-0.0017	0.229	5.516	27.3
10.650				0.776	16.305	-0.314	0.0185	0.389	-0.007	
10.700				1.558	9.550	-210.644	0.0372	0.228	-5.029	27.3
10.750				1.731	-4.760	-260.752	0.0413	-0.114	-6.225	
10.800	101.00	99.26	1.74	1.082	-16.525	-84.823	0.0258	-0.394	-2.025	27.3
10.850				0.079	-13.242	192.737	0.0019	-0.316	4.601	
10.900				-0.242	2.749	283.372	-0.0058	0.066	6.765	27.2
10.950				0.353	15.095	111.527	0.0084	0.360	2.663	
11.000	166.83	99.26	67.57	1.268	13.902	-130.847	0.0303	0.332	-3.124	27.2
11.050				1.744	2.011	-264.836	0.0416	0.048	-6.322	
11.100				1.469	-12.582	-189.124	0.0351	-0.300	-4.515	27.2
11.150				0.485	-16.902	77.597	0.0116	-0.404	1.852	
11.200	105.49	99.26	6.23	-0.221	-4.822	279.759	-0.0053	-0.115	6.679	27.2
11.250				0.003	11.074	209.387	7.5000E-5	0.264	4.999	
11.300				0.886	16.116	-29.217	0.0212	0.385	-0.697	27.2
11.350				1.615	8.152	-226.666	0.0386	0.195	-5.411	
11.400	156.93	99.26	57.67	1.701	-6.550	-252.584	0.0406	-0.156	-6.030	27.2
11.450				0.960	-17.106	-51.679	0.0229	-0.408	-1.234	
11.500				-0.009	-11.718	219.283	-2.2500E-4	-0.280	5.235	27.1
11.550				-0.212	4.822	274.575	-0.0051	0.115	6.555	
11.600	148.77	99.27	49.50	0.473	15.739	80.111	0.0113	0.376	1.913	27.1
11.650				1.362	12.833	-155.980	0.0325	0.306	-3.724	
11.700				1.756	0.141	-267.664	0.0419	0.003	-6.390	27.1
11.750				1.376	-13.933	-163.520	0.0329	-0.333	-3.904	
11.800	98.18	99.26	-1.08	0.363	-16.211	112.155	0.0087	-0.387	2.677	27.1
11.850				-0.245	-2.717	286.985	-0.0059	-0.065	6.851	
11.900				0.091	12.488	184.569	0.0022	0.298	4.406	27.1
11.950				1.004	15.739	-60.162	0.0240	0.376	-1.436	
12.000	171.08	99.26	71.81	1.665	6.472	-241.117	0.0397	0.155	-5.756	27.0
12.050				1.651	-8.372	-238.290	0.0394	-0.200	-5.689	
12.100				0.828	-17.357	-16.336	0.0198	-0.414	-0.390	27.0
12.150				-0.085	-10.006	240.332	-0.0020	-0.239	5.738	
12.200	126.37	99.26	27.11	-0.173	6.676	261.381	-0.0041	0.159	6.240	27.0
12.250				0.583	16.132	50.580	0.0139	0.385	1.207	
12.300				1.440	11.734	-177.814	0.0344	0.280	-4.245	27.0
12.350				1.756	-1.649	-267.821	0.0419	-0.039	-6.394	
12.400	127.04	99.26	27.78	1.275	-15.048	-136.502	0.0304	-0.359	-3.259	27.0
12.450				0.251	-15.300	143.100	0.0060	-0.365	3.416	
12.500				-0.254	-0.738	288.084	-0.0061	-0.018	6.877	26.9
12.550				0.178	13.509	159.593	0.0042	0.322	3.810	
12.600	169.80	99.27	70.54	1.096	15.221	-84.666	0.0262	0.363	-2.021	26.9
12.650				1.700	5.042	-251.328	0.0406	0.120	-6.000	
12.700				1.601	-9.912	-224.624	0.0382	-0.237	-5.363	26.9
12.750				0.708	-17.420	16.022	0.0169	-0.416	0.382	
12.800	108.71	99.26	9.45	-0.141	-8.310	256.511	-0.0034	-0.198	6.124	26.9
12.850				-0.123	8.231	245.673	-0.0029	0.197	5.865	
12.900				0.682	16.258	24.504	0.0163	0.388	0.585	26.9
12.950				1.503	10.681	-194.465	0.0359	0.255	-4.643	
