Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
3.250				0.968	15.834	-50.580	0.0231	0.378	-1.208		3.250				0.221	16.336	158.965	0.0053	0.390	3.795	
3.300				1.648	7.021	-236.091	0.0393	0.168	-5.636	28.3	3.300				1.362	14.781	-217.870	0.0325	0.353	-5.201	-26.7
3.350				1.670	-7.775	-243.631	0.0399	-0.186	-5.816		3.350				1.700	-5.451	-334.737	0.0406	-0.130	-7.991	
3.400	103.80	99.26	4.55	0.870	-17.342	-27.803	0.0208	-0.414	-0.664	28.3	3.400	107.19	99.26	7.93	0.817	-18.692	-33.929	0.0195	-0.446	-0.810	-26.7
3.450				-0.064	-10.556	234.520	-0.0015	-0.252	5.599		3.450				-0.170	-8.844	294.682	-0.0041	-0.211	7.035	
3.500				-0.185	6.110	265.465	-0.0044	0.146	6.338	28.3	3.500				-0.068	10.776	261.224	-0.0016	0.257	6.236	-26.7
3.550				0.547	15.991	59.847	0.0131	0.382	1.429		3.550				0.908	17.279	-39.584	0.0217	0.412	-0.945	
3.600	169.07	99.26	69.81	1.414	12.095	-170.117	0.0338	0.289	-4.061	28.3	3.600	162.22	99.26	62.96	1.660	6.817	-265.151	0.0396	0.163	-6.330	-26.7
3.650				1.756	-1.021	-267.821	0.0419	-0.024	-6.394		3.650				1.590	-9.236	-240.175	0.0379	-0.220	-5.734	
3.700				1.312	-14.687	-146.241	0.0313	-0.351	-3.491	28.3	3.700				0.737	-17.200	0.628	0.0176	-0.411	0.015	-26.7
3.750				0.287	-15.645	133.518	0.0069	-0.374	3.188		3.750				-0.130	-9.173	243.159	-0.0031	-0.219	5.805	
3.800	101.39	99.26	2.13	-0.253	-1.335	288.870	-0.0060	-0.032	6.896	28.3	3.800	109.71	99.26	10.45	-0.181	7.116	253.684	-0.0043	0.170	6.056	-26.7
3.850				0.154	13.242	166.976	0.0037	0.316	3.986		3.850				0.581	16.195	43.982	0.0139	0.387	1.050	
3.900				1.071	15.362	-78.069	0.0256	0.367	-1.864	28.3	3.900				1.439	11.514	-183.783	0.0343	0.275	-4.388	-26.7
3.950				1.690	5.435	-248.186	0.0404	0.130	-5.925		3.950				1.733	-2.183	-269.706	0.0414	-0.052	-6.439	
4.000	121.39	99.26	22.13	1.615	-9.456	-228.237	0.0386	-0.226	-5.449	28.2	4.000	111.96	99.26	12.70	1.221	-15.457	-127.863	0.0291	-0.369	-3.052	-26.7
4.050				0.745	-17.389	6.126	0.0178	-0.415	0.146		4.050				0.187	-14.970	161.164	0.0045	-0.357	3.848	
4.100				-0.124	-8.844	250.856	-0.0030	-0.211	5.989	28.2	4.100				-0.276	0.660	298.923	-0.0066	0.016	7.136	-26.7
4.150				-0.140	7.697	250.699	-0.0033	0.184	5.985		4.150				0.253	14.923	140.429	0.0060	0.356	3.352	
4.200	139.50	99.26	40.23	0.646	16.226	33.615	0.0154	0.387	0.803	28.2	4.200	160.49	99.26	61.22	1.216	14.703	-128.177	0.0290	0.351	-3.060	-26.7
4.250				1.483	11.058	-190.066	0.0354	0.264	-4.537		4.250				1.723	2.105	-276.146	0.0411	0.050	-6.592	
4.300				1.751	-2.780	-267.193	0.0418	-0.066	-6.379	28.2	4.300				1.426	-12.912	-189.124	0.0340	-0.308	-4.515	-26.7
4.350				1.205	-15.661	-118.124	0.0288	-0.374	-2.820		4.350				0.432	-16.808	89.378	0.0103	-0.401	2.134	
4.400	97.09	99.26	-2.17	0.185	-14.593	161.949	0.0044	-0.348	3.866	28.2	4.400	103.37	99.26	4.11	-0.254	-3.974	290.126	-0.0061	-0.095	6.926	-26.7
4.450				-0.254	0.534	287.142	-0.0061	0.013	6.855		4.450				0.035	12.205	201.690	8.2500E-4	0.291	4.815	
4.500				0.239	14.121	142.471	0.0057	0.337	3.401	28.2	4.500				0.966	16.195	-57.805	0.0231	0.387	-1.380	-26.7
4.550				1.158	14.781	-101.159	0.0276	0.353	-2.415		4.550				1.654	6.425	-252.270	0.0395	0.153	-6.023	
4.600	146.26	99.26	46.99	1.717	4.006	-256.668	0.0410	0.096	-6.127	28.2	4.600	120.65	99.26	21.39	1.608	-9.032	-239.232	0.0384	-0.216	-5.711	-26.7
4.650				1.558	-10.886	-213.314	0.0372	-0.260	-5.092		4.650				0.751	-17.499	0.471	0.0179	-0.418	0.011	
4.700				0.628	-17.326	37.856	0.0150	-0.414	0.904	28.2	4.700				-0.141	-8.985	258.082	-0.0034	-0.215	6.161	-26.7
4.750				-0.174	-7.100	266.093	-0.0042	-0.170	6.352		4.750				-0.148	8.310	257.297	-0.0035	0.198	6.142	
4.800	118.47	99.26	19.21	-0.082	9.283	233.578	-0.0019	0.222	5.576	28.2	4.800	149.91	99.27	50.65	0.690	16.745	18.850	0.0165	0.400	0.450	-26.7
4.850				0.754	16.258	5.341	0.0180	0.388	0.128		4.850				1.527	10.194	-213.943	0.0364	0.243	-5.108	
4.900				1.544	9.817	-206.560	0.0369	0.234	-4.931	28.2	4.900				1.709	-4.650	-267.821	0.0408	-0.111	-6.394	-26.7
4.950				1.736	-4.398	-262.480	0.0414	-0.105	-6.266		4.950				1.062	-16.588	-85.294	0.0253	-0.396	-2.036	
5.000	101.55	99.26	2.29	1.104	-16.431	-90.792	0.0264	-0.392	-2.167	28.2	5.000	100.22	99.26	0.96	0.050	-13.179	200.748	0.0012	-0.315	4.792	-26.6
5.050				0.093	-13.477	189.124	0.0022	-0.322	4.515		5.050				-0.256	3.487	290.598	-0.0061	0.083	6.937	
5.100				-0.243	2.482	284.471	-0.0058	0.059	6.791	28.1	5.100				0.399	15.881	98.489	0.0095	0.379	2.351	-26.6
5.150				0.341	14.970	115.139	0.0081	0.357	2.749		5.150				1.332	13.336	-159.750	0.0318	0.318	-3.814	
5.200	164.66	99.26	65.40	1.253	13.996	-126.449	0.0299	0.334	-3.019	28.1	5.200	174.13	99.26	74.87	1.733	-0.094	-276.932	0.0414	-0.002	-6.611	-26.6
5.250				1.740	2.325	-262.952	0.0416	0.056	-6.277		5.250				1.323	-14.357	-158.651	0.0316	-0.343	-3.787	
5.300				1.486	-12.299	-193.208	0.0355	-0.294	-4.612	28.1	5.300				0.297	-15.959	129.120	0.0071	-0.381	3.082	-26.6
5.350				0.511	-16.996	71.000	0.0122	-0.406	1.695		5.350				-0.273	-1.445	298.294	-0.0065	-0.035	7.121	
5.400	103.76	99.26	4.49	-0.214	-5.199	278.502	-0.0051	-0.124	6.649	28.1	5.400	138.83	99.26	39.56	0.152	13.870	169.332	0.0036	0.331	4.043	-26.6
5.450				-0.009	10.854	213.786	-2.2500E-4	0.259	5.104		5.450				1.114	15.488	-98.803	0.0266	0.370	-2.359	
5.500				0.872	16.179	-25.447	0.0208	0.386	-0.608	28.1	5.500				1.701	3.990	-268.763	0.0406	0.095	-6.416	-26.6
5.550				1.608	8.310	-224.938	0.0384	0.198	-5.370		5.550				1.513	-11.388	-213.000	0.0361	-0.272	-5.085	
5.600	158.96	99.26	59.70	1.703	-6.315	-252.741	0.0407	-0.151	-6.034	28.1	5.600	116.30	99.26	17.04	0.562	-17.310	52.936	0.0134	-0.413	1.264	-26.5
5.650				0.977	-16.965	-56.706	0.0233	-0.405	-1.354		5.650				-0.218	-6.095	281.487	-0.0052	-0.146	6.720	
5.700				0.006	-11.985	213.314	1.5000E-4	-0.286	5.093	28.1	5.700				-0.047	10.839	227.294	-0.0011	0.259	5.426	-26.5
5.750				-0.221	4.367	275.832	-0.0053	0.104	6.585		5.750				0.866	16.635	-30.002	0.0207	0.397	-0.716	
5.800	145.04	99.27	45.78	0.443	15.598	87.336	0.0106	0.372	2.085	28.1	5.800	178.51	99.26	79.24	1.616	7.838	-242.845	0.0386	0.187	-5.797	-26.5
5.850				1.338	13.100	-150.011	0.0320	0.313	-3.581		5.850				1.649	-7.650	-252.270	0.0394	-0.183	-6.023	
5.900				1.753	0.597	-266.878	0.0419	0.014	-6.371	28.0	5.900				0.851	-17.389	-27.646	0.0203	-0.415	-0.660	-26.5
