Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²)
8,550;2,171;-24,190;-19,792;0,0518;-0,578;-0,472;8,550;5,738;-17,200;-60,319;0,1370;-0,411;-1,440
8,600;0,938;-24,834;-6,283;0,0224;-0,593;-0,150;8,600;4,802;-19,965;-49,323;0,1146;-0,477;-1,177
8,650;-0,313;-24,819;8,011;-0,0075;-0,593;0,191;8,650;3,742;-22,133;-36,757;0,0893;-0,528;-0,878
8,700;-1,544;-24,033;23,405;-0,0369;-0,574;0,559;8,700;2,589;-23,641;-23,248;0,0618;-0,564;-0,555
8,750;-2,716;-22,478;37,856;-0,0648;-0,537;0,904;8,750;1,378;-24,457;-9,739;0,0329;-0,584;-0,232
8,800;-3,792;-20,248;50,580;-0,0905;-0,483;1,207;8,800;0,143;-24,614;4,241;0,0034;-0,588;0,101
8,850;-4,741;-17,420;61,104;-0,1132;-0,416;1,459;8,850;-1,084;-24,033;19,321;-0,0259;-0,574;0,461
8,900;-5,534;-14,137;69,586;-0,1321;-0,338;1,661;8,900;-2,260;-22,682;33,615;-0,0540;-0,542;0,803
8,950;-6,154;-10,462;76,812;-0,1469;-0,250;1,834;8,950;-3,352;-20,672;46,653;-0,0800;-0,494;1,114
9,000;-6,580;-6,456;81,839;-0,1571;-0,154;1,954;9,000;-4,328;-18,017;58,120;-0,1033;-0,430;1,387
9,050;-6,800;-2,278;82,938;-0,1623;-0,054;1,980;9,050;-5,154;-14,860;66,916;-0,1230;-0,355;1,597
9,100;-6,808;1,838;79,797;-0,1625;0,044;1,905;9,100;-5,814;-11,325;73,985;-0,1388;-0,270;1,766
9,150;-6,616;5,702;74,770;-0,1579;0,136;1,785;9,150;-6,286;-7,461;79,482;-0,1501;-0,178;1,898
9,200;-6,238;9,315;69,272;-0,1489;0,222;1,654;9,200;-6,560;-3,377;81,839;-0,1566;-0,081;1,954
9,250;-5,685;12,629;62,047;-0,1357;0,302;1,481;9,250;-6,624;0,723;79,954;-0,1581;0,017;1,909
