Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
9,300	0,33	0,20	0,21
9,320	0,34	0,21	0,23
9,340	0,34	0,21	-0,11
9,360	0,34	0,21	-0,01
9,380	0,35	0,21	0,12
9,400	0,35	0,21	-0,11
9,420	0,36	0,21	-0,11
9,440	0,36	0,21	-0,10
9,460	0,37	0,20	-0,22
9,480	0,37	0,20	-0,11
9,500	0,37	0,20	-0,10
9,520	0,38	0,19	-0,21
9,540	0,38	0,19	-0,21
9,560	0,38	0,19	-0,21
9,580	0,39	0,18	-0,21
9,600	0,39	0,18	-0,32
9,620	0,40	0,17	-0,43
9,640	0,40	0,16	-0,43
9,660	0,40	0,15	-0,44
9,680	0,40	0,14	-0,33
9,700	0,41	0,14	-0,20
9,720	0,41	0,13	-0,42
9,740	0,41	0,12	-0,55
9,760	0,42	0,11	-0,32
9,780	0,42	0,11	-0,42
9,800	0,42	0,10	-0,54
9,820	0,42	0,09	-0,42
9,840	0,42	0,08	-0,54
9,860	0,42	0,07	-0,54
9,880	0,43	0,06	-0,42
9,900	0,43	0,05	-0,53
9,920	0,43	0,04	-0,65
9,940	0,43	0,02	-0,54
9,960	0,43	0,01	-0,42
9,980	0,43	0,01	-0,54
10,000	0,43	-0,01	-0,54
10,020	0,43	-0,02	-0,42
10,040	0,43	-0,02	-0,65
10,060	0,43	-0,04	-0,67
10,080	0,43	-0,05	-0,32
10,100	0,43	-0,06	-0,42
10,120	0,42	-0,07	-0,65
10,140	0,42	-0,08	-0,54
10,160	0,42	-0,09	-0,44
10,180	0,42	-0,10	-0,32
10,200	0,42	-0,10	-0,42
10,220	0,41	-0,12	-0,55
10,240	0,41	-0,12	-0,32
10,260	0,41	-0,13	-0,32
10,280	0,41	-0,14	-0,43
10,300	0,40	-0,15	-0,44
10,320	0,40	-0,15	-0,32
10,340	0,40	-0,16	-0,32
10,360	0,39	-0,17	-0,44
10,380	0,39	-0,18	-0,34
10,400	0,39	-0,18	-0,11
10,420	0,38	-0,18	-0,10
10,440	0,38	-0,18	-0,32
10,460	0,38	-0,19	-0,33
10,480	0,37	-0,20	-0,11
10,500	0,37	-0,20	0,01
10,520	0,36	-0,20	-0,10
10,540	0,36	-0,20	-0,22
10,560	0,36	-0,21	-0,12
10,580	0,35	-0,21	0,11
10,600	0,35	-0,20	0,11
10,620	0,34	-0,20	3,47E-14
10,640	0,34	-0,20	1,55E-13
10,660	0,34	-0,20	-0,01
10,680	0,33	-0,20	0,10
10,700	0,33	-0,20	0,22
10,720	0,32	-0,19	0,22
10,740	0,32	-0,19	0,11
10,760	0,32	-0,19	0,10
10,780	0,31	-0,19	0,32
10,800	0,31	-0,18	0,44
10,820	0,31	-0,17	0,33
10,840	0,30	-0,16	0,22
10,860	0,30	-0,16	0,21
10,880	0,30	-0,16	0,32
10,900	0,29	-0,15	0,44
10,920	0,29	-0,14	0,32
10,940	0,29	-0,13	0,43
10,960	0,29	-0,12	0,54
10,980	0,28	-0,11	0,43
11,000	0,28	-0,10	0,43
11,020	0,28	-0,09	0,43
11,040	0,28	-0,09	0,54
11,060	0,28	-0,07	0,43
11,080	0,27	-0,07	0,42
11,100	0,27	-0,06	0,65
11,120	0,27	-0,04	0,43
11,140	0,27	-0,04	0,42
11,160	0,27	-0,03	0,65
11,180	0,27	-0,01	0,54
11,200	0,27	0,00	0,43
11,220	0,27	0,00	0,53
11,240	0,27	0,02	0,65
11,260	0,27	0,03	0,54
11,280	0,27	0,04	0,43
