Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
14,400	-1,145	-0,110	0,314	-0,0273	-0,003	0,007
14,450	-1,150	-0,094	0,471	-0,0275	-0,002	0,011
14,500	-1,155	-0,063	0,628	-0,0276	-0,002	0,015
14,550	-1,156	-0,031	0,471	-0,0276	-7,500E-4	0,011
14,600	-1,158	-0,016	0,314	-0,0276	-3,750E-4	0,007
14,650	-1,158	0,000	0,157	-0,0276	0,000	0,004
14,700	-1,158	0,000	0,000	-0,0276	0,000	0,000
14,750	-1,158	0,000	0,000	-0,0276	0,000	0,000
14,800	-1,158	0,000	0,000	-0,0276	0,000	0,000
14,850	-1,158	0,000	0,000	-0,0276	0,000	0,000
14,900	-1,158	0,000	0,000	-0,0276	0,000	0,000
14,950	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,000	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,050	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,100	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,150	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,200	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,250	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,300	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,350	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,400	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,450	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,500	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,550	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,600	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,650	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,700	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,750	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,800	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,850	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,900	-1,158	0,000	0,000	-0,0276	0,000	0,000
15,950	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,000	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,050	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,100	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,150	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,200	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,250	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,300	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,350	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,400	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,450	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,500	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,550	-1,158	0,000	0,000	-0,0276	0,000	0,000
16,600	-1,158	0,000	0,157	-0,0276	0,000	0,004
16,650	-1,158	0,016	0,471	-0,0276	3,750E-4	0,011
16,700	-1,156	0,047	0,628	-0,0276	0,001	0,015
16,750	-1,153	0,079	0,628	-0,0275	0,002	0,015
16,800	-1,148	0,110	0,628	-0,0274	0,003	0,015
16,850	-1,142	0,141	0,942	-0,0273	0,003	0,022
16,900	-1,134	0,204	1,257	-0,0271	0,005	0,030
16,950	-1,122	0,267	1,100	-0,0268	0,006	0,026
17,000	-1,107	0,314	1,100	-0,0264	0,008	0,026
17,050	-1,090	0,377	1,257	-0,0260	0,009	0,030
17,100	-1,070	0,440	1,257	-0,0255	0,010	0,030
17,150	-1,046	0,503	1,257	-0,0250	0,012	0,030
17,200	-1,019	0,565	1,414	-0,0243	0,014	0,034
17,250	-0,990	0,644	1,571	-0,0236	0,015	0,037
17,300	-0,955	0,723	1,414	-0,0228	0,017	0,034
17,350	-0,917	0,785	1,257	-0,0219	0,019	0,030
17,400	-0,877	0,848	1,414	-0,0209	0,020	0,034
17,450	-0,833	0,927	1,728	-0,0199	0,022	0,041
17,500	-0,784	1,021	1,414	-0,0187	0,024	0,034
17,550	-0,730	1,068	0,942	-0,0174	0,025	0,022
17,600	-0,677	1,115	1,257	-0,0162	0,027	0,030
17,650	-0,619	1,194	1,100	-0,0148	0,029	0,026
17,700	-0,558	1,225	0,628	-0,0133	0,029	0,015
17,750	-0,496	1,257	0,628	-0,0119	0,030	0,015
17,800	-0,432	1,288	0,314	-0,0103	0,031	0,007
17,850	-0,368	1,288	4,574E-13	-0,0088	0,031	1,076E-14
17,900	-0,303	1,288	-0,157	-0,0072	0,031	-0,004
17,950	-0,239	1,272	-0,471	-0,0057	0,030	-0,011
18,000	-0,176	1,241	-0,628	-0,0042	0,030	-0,015
18,050	-0,115	1,210	-0,628	-0,0027	0,029	-0,015
