Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
2,350;0,072;0,079;-3,927;0,0017;0,002;-0,094;0,3;0,25
2,360;0,072;0,000;0,000;0,0017;0,000;0,000;;
2,370;0,072;0,079;7,854;0,0017;0,002;0,187;;
2,380;0,074;0,157;-2,616E-13;0,0018;0,004;-6,245E-15;;
2,390;0,075;0,079;-7,854;0,0018;0,002;-0,187;;
2,400;0,075;0,000;-3,927;0,0018;0,000;-0,094;0,2;0,23
2,410;0,075;0,000;3,927;0,0018;0,000;0,094;;
2,420;0,075;0,079;3,927;0,0018;0,002;0,094;;
2,430;0,077;0,079;-3,927;0,0018;0,002;-0,094;;
2,440;0,077;0,000;-3,927;0,0018;0,000;-0,094;;
2,450;0,077;0,000;0,000;0,0018;0,000;0,000;0,2;0,22
2,460;0,077;0,000;3,927;0,0018;0,000;0,094;;
2,470;0,077;0,079;3,927;0,0018;0,002;0,094;;
2,480;0,079;0,079;-3,927;0,0019;0,002;-0,094;;
2,490;0,079;0,000;0,000;0,0019;0,000;0,000;;
2,500;0,079;0,079;3,927;0,0019;0,002;0,094;0,2;0,20
2,510;0,080;0,079;-2,616E-13;0,0019;0,002;-6,245E-15;;
2,520;0,080;0,079;-2,616E-13;0,0019;0,002;-6,245E-15;;
2,530;0,082;0,079;-3,927;0,0019;0,002;-0,094;;
2,540;0,082;0,000;-3,927;0,0019;0,000;-0,094;;
2,550;0,082;0,000;3,927;0,0019;0,000;0,094;0,2;0,15
2,560;0,082;0,079;3,927;0,0019;0,002;0,094;;
2,570;0,083;0,079;-3,927;0,0020;0,002;-0,094;;
2,580;0,083;0,000;-3,927;0,0020;0,000;-0,094;;
2,590;0,083;0,000;3,927;0,0020;0,000;0,094;;
2,600;0,083;0,079;3,927;0,0020;0,002;0,094;0,1;0,14
2,610;0,085;0,079;-3,927;0,0020;0,002;-0,094;;
2,620;0,085;0,000;-3,927;0,0020;0,000;-0,094;;
2,630;0,085;0,000;3,927;0,0020;0,000;0,094;;
2,640;0,085;0,079;3,927;0,0020;0,002;0,094;;
2,650;0,086;0,079;-3,927;0,0021;0,002;-0,094;0,1;0,13
2,660;0,086;0,000;-3,927;0,0021;0,000;-0,094;;
2,670;0,086;0,000;0,000;0,0021;0,000;0,000;;
2,680;0,086;0,000;3,927;0,0021;0,000;0,094;;
2,690;0,086;0,079;3,927;0,0021;0,002;0,094;;
2,700;0,088;0,079;-3,927;0,0021;0,002;-0,094;0,1;0,11
2,710;0,088;0,000;-3,927;0,0021;0,000;-0,094;;
2,720;0,088;0,000;3,927;0,0021;0,000;0,094;;
2,730;0,088;0,079;3,927;0,0021;0,002;0,094;;
2,740;0,090;0,079;-3,927;0,0021;0,002;-0,094;;
2,750;0,090;0,000;-3,927;0,0021;0,000;-0,094;0,1;0,10
2,760;0,090;0,000;3,927;0,0021;0,000;0,094;;
2,770;0,090;0,079;3,927;0,0021;0,002;0,094;;
2,780;0,091;0,079;-3,927;0,0022;0,002;-0,094;;
2,790;0,091;0,000;0,000;0,0022;0,000;0,000;;
2,800;0,091;0,079;3,927;0,0022;0,002;0,094;0,1;0,09
2,810;0,093;0,079;-3,927;0,0022;0,002;-0,094;;
2,820;0,093;0,000;0,000;0,0022;0,000;0,000;;
2,830;0,093;0,079;3,927;0,0022;0,002;0,094;;
2,840;0,094;0,079;-3,927;0,0023;0,002;-0,094;;
2,850;0,094;0,000;-3,927;0,0023;0,000;-0,094;0,1;0,09
2,860;0,094;0,000;3,927;0,0023;0,000;0,094;;
2,870;0,094;0,079;3,927;0,0023;0,002;0,094;;
2,880;0,096;0,079;-3,927;0,0023;0,002;-0,094;;
2,890;0,096;0,000;-3,927;0,0023;0,000;-0,094;;
2,900;0,096;0,000;0,000;0,0023;0,000;0,000;0,1;0,08
