Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
9,400;0,435;0,043;-0,039;0,0103875;0,001;-9,375E-4;0,0;0,0498352;9,400;0,421;0,039;-0,020;0,0100500;9,375E-4;-4,687E-4;0,0;0,0352478;9,400;0,383;0,043;0,000;0,0091500;0,001;0,000;0,0;0,0416870;9,400;0,364;0,031;-0,010;0,0087000;7,500E-4;-2,344E-4;0,1;0,0673981
9,600;0,443;0,035;-0,010;0,0105750;8,438E-4;-2,344E-4;0,1;0,0524902;9,600;0,429;0,039;0,020;0,0102375;9,375E-4;4,688E-4;0,0;0,0404053;9,600;0,393;0,039;-0,010;0,0093750;9,375E-4;-2,344E-4;0,0;0,0382538;9,600;0,371;0,039;0,039;0,0088500;9,375E-4;9,375E-4;0,1;0,0672913
9,800;0,449;0,039;0,039;0,0107250;9,375E-4;9,375E-4;0,0;0,0475922;9,800;0,437;0,047;0,029;0,0104250;0,001;7,031E-4;0,0;0,0484161;9,800;0,399;0,039;0,020;0,0095250;9,375E-4;4,687E-4;0,0;0,0363159;9,800;0,380;0,047;0,029;0,0090750;0,001;7,031E-4;0,1;0,0602264
10,000;0,459;0,051;0,029;0,0109500;0,001;7,031E-4;0,0;0,0388641;10,000;0,448;0,051;-0,020;0,0106875;0,001;-4,688E-4;0,0;0,0451050;10,000;0,408;0,047;0,010;0,0097500;0,001;2,344E-4;0,0;0,0361328;10,000;0,390;0,051;-0,010;0,0093000;0,001;-2,344E-4;0,0;0,0488892
10,200;0,470;0,051;-0,029;0,0112125;0,001;-7,031E-4;0,0;0,0378418;10,200;0,457;0,039;-0,039;0,0109125;9,375E-4;-9,375E-4;0,0;0,0420227;10,200;0,418;0,043;-0,010;0,0099750;0,001;-2,344E-4;0,0;0,0358276;10,200;0,401;0,043;-0,029;0,0095625;0,001;-7,031E-4;0,0;0,0433044
10,400;0,479;0,039;-0,029;0,0114375;9,375E-4;-7,031E-4;0,0;0,0381012;10,400;0,463;0,035;-0,010;0,0110625;8,438E-4;-2,344E-4;0,0;0,0377350;10,400;0,426;0,043;0,000;0,0101625;0,001;0,000;0,0;0,0377502;10,400;0,407;0,039;-0,010;0,0097125;9,375E-4;-2,344E-4;0,0;0,0424805
10,600;0,485;0,039;0,020;0,0115875;9,375E-4;4,688E-4;0,0;0,0383606;10,600;0,471;0,035;3,990E-16;0,0112500;8,438E-4;9,487E-18;0,0;0,0369110;10,600;0,435;0,043;-0,010;0,0103875;0,001;-2,344E-4;0,0;0,0440216;10,600;0,416;0,039;4,337E-16;0,0099375;9,375E-4;1,057E-17;0,0;0,0430450
10,800;0,495;0,047;0,029;0,0118125;0,001;7,031E-4;0,0;0,0398102;10,800;0,478;0,035;0,010;0,0114000;8,438E-4;2,344E-4;0,0;0,0370178;10,800;0,443;0,039;-0,010;0,0105750;9,375E-4;-2,344E-4;0,0;0,0477600;10,800;0,423;0,039;0,029;0,0100875;9,375E-4;7,031E-4;0,0;0,0463867
11,000;0,504;0,051;0,020;0,0120375;0,001;4,688E-4;0,1;0,0548859;11,000;0,485;0,039;-3,990E-16;0,0115875;9,375E-4;-9,487E-18;0,0;0,0362091;11,000;0,451;0,039;-4,337E-16;0,0107625;9,375E-4;-1,057E-17;0,0;0,0462646;11,000;0,432;0,051;0,029;0,0103125;0,001;7,031E-4;0,1;0,0534821
11,200;0,515;0,055;-0,010;0,0123000;0,001;-2,344E-4;0,1;0,0620270;11,200;0,493;0,035;-0,010;0,0117750;8,438E-4;-2,344E-4;0,0;0,0368195;11,200;0,459;0,039;0,000;0,0109500;9,375E-4;0,000;0,0;0,0412140;11,200;0,443;0,051;-0,020;0,0105750;0,001;-4,687E-4;0,1;0,0573578
11,400;0,526;0,047;-0,029;0,0125625;0,001;-7,031E-4;0,1;0,0625153;11,400;0,500;0,035;0,020;0,0119250;8,438E-4;4,687E-4;0,0;0,0376587;11,400;0,467;0,039;0,010;0,0111375;9,375E-4;2,344E-4;0,0;0,0378571;11,400;0,452;0,043;-0,029;0,0108000;0,001;-7,031E-4;0,1;0,0582123
