Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
70,800;2,879;0,027;-0,020;0,0687375;6,563E-4;-4,688E-4;0,6;0,5637207;70,800;2,373;0,031;0,020;0,0566625;7,500E-4;4,687E-4;0,4;0,3628387;70,800;2,655;0,035;0,020;0,0633750;8,437E-4;4,687E-4;28,8;28,7802277;70,800;2,776;0,035;-0,039;0,0662625;8,437E-4;-9,375E-4;21,3;21,3287201
71,000;2,884;0,027;0,010;0,0688500;6,562E-4;2,344E-4;0,5;0,4845734;71,000;2,380;0,031;-0,010;0,0568125;7,500E-4;-2,344E-4;0,3;0,3002625;71,000;2,663;0,039;-0,010;0,0635625;9,375E-4;-2,344E-4;55,9;55,8985596;71,000;2,782;0,024;-0,029;0,0664125;5,625E-4;-7,031E-4;16,1;16,1399994
71,200;2,890;0,031;0,020;0,0690000;7,500E-4;4,687E-4;0,6;0,6141052;71,200;2,386;0,027;-0,029;0,0569625;6,562E-4;-7,031E-4;0,3;0,2826538;71,200;2,670;0,031;-0,010;0,0637500;7,500E-4;-2,344E-4;80,0;80,0426331;71,200;2,785;0,024;0,010;0,0664875;5,625E-4;2,344E-4;11,7;11,6579742
71,400;2,897;0,035;0,020;0,0691500;8,437E-4;4,688E-4;1,3;1,3069000;71,400;2,391;0,020;-0,029;0,0570750;4,687E-4;-7,031E-4;0,3;0,2638245;71,400;2,675;0,035;0,010;0,0638625;8,437E-4;2,344E-4;91,7;91,7088013;71,400;2,791;0,027;0,010;0,0666375;6,562E-4;2,344E-4;7,0;6,9867096
71,600;2,904;0,039;-0,010;0,0693375;9,375E-4;-2,344E-4;2,0;2,0430756;71,600;2,394;0,016;1,743E-15;0,0571500;3,750E-4;4,161E-17;0,2;0,2472839;71,600;2,684;0,035;-0,020;0,0640875;8,438E-4;-4,687E-4;79,2;79,2415161;71,600;2,796;0,027;0,010;0,0667500;6,563E-4;2,344E-4;3,6;3,5906372
71,800;2,912;0,031;-0,029;0,0695250;7,500E-4;-7,031E-4;2,3;2,3303070;71,800;2,397;0,020;0,010;0,0572250;4,688E-4;2,344E-4;0,3;0,2845459;71,800;2,689;0,027;-0,010;0,0642000;6,563E-4;-2,344E-4;44,8;44,8388062;71,800;2,802;0,031;0,020;0,0669000;7,500E-4;4,687E-4;2,2;2,2214813
72,000;2,917;0,027;-0,010;0,0696375;6,562E-4;-2,344E-4;2,3;2,2741089;72,000;2,402;0,020;-0,010;0,0573375;4,687E-4;-2,344E-4;0,3;0,3261108;72,000;2,695;0,031;0,010;0,0643500;7,500E-4;2,344E-4;24,5;24,5195313;72,000;2,809;0,035;0,020;0,0670500;8,437E-4;4,687E-4;1,7;1,7177887
72,200;2,923;0,027;0,010;0,0697875;6,562E-4;2,344E-4;1,9;1,8640900;72,200;2,405;0,016;0,000;0,0574125;3,750E-4;0,000;0,4;0,3747253;72,200;2,702;0,031;0,000;0,0645000;7,500E-4;0,000;14,2;14,1792145;72,200;2,816;0,039;0,000;0,0672375;9,375E-4;0,000;2,3;2,2588348
72,400;2,928;0,031;0,020;0,0699000;7,500E-4;4,688E-4;1,4;1,4319611;72,400;2,408;0,020;0,020;0,0574875;4,687E-4;4,688E-4;0,4;0,4136658;72,400;2,708;0,031;2,793E-15;0,0646500;7,500E-4;6,641E-17;9,4;9,4024963;72,400;2,824;0,035;-0,010;0,0674250;8,437E-4;-2,344E-4;2,9;2,9006653
72,600;2,936;0,035;0,020;0,0700875;8,437E-4;4,688E-4;0,7;0,7017059;72,600;2,413;0,024;0,010;0,0576000;5,625E-4;2,344E-4;0,5;0,5300751;72,600;2,714;0,031;-0,010;0,0648000;7,500E-4;-2,344E-4;5,9;5,8845825;72,600;2,831;0,035;3,140E-15;0,0675750;8,437E-4;7,508E-17;3,5;3,5478821
72,800;2,942;0,039;0,010;0,0702375;9,375E-4;2,344E-4;0,4;0,3764801;72,800;2,417;0,024;-2,099E-15;0,0577125;5,625E-4;-5,014E-17;0,7;0,6948700;72,800;2,721;0,027;-0,010;0,0649500;6,563E-4;-2,344E-4;4,5;4,4919739;72,800;2,838;0,035;-0,020;0,0677625;8,437E-4;-4,688E-4;4,0;4,0253448
73,000;2,952;0,039;-0,020;0,0704625;9,375E-4;-4,688E-4;0,4;0,3580933;73,000;2,422;0,024;-2,099E-15;0,0578250;5,625E-4;-5,014E-17;1,1;1,1159363;73,000;2,725;0,027;-2,446E-15;0,0650625;6,562E-4;-5,828E-17;4,6;4,5847168;73,000;2,845;0,027;0,010;0,0679125;6,562E-4;2,344E-4;4,2;4,2272797
73,200;2,958;0,031;-0,029;0,0706125;7,500E-4;-7,031E-4;0,4;0,3751984;73,200;2,427;0,024;-0,010;0,0579375;5,625E-4;-2,344E-4;1,6;1,6480103;73,200;2,732;0,027;0,000;0,0652125;6,562E-4;0,000;5,0;4,9525146;73,200;2,849;0,039;0,029;0,0680250;9,375E-4;7,031E-4;3,6;3,6095581
73,400;2,964;0,027;-0,010;0,0707625;6,562E-4;-2,344E-4;0,4;0,3542023;73,400;2,432;0,020;2,099E-15;0,0580500;4,687E-4;6,776E-18;1,9;1,8952789;73,400;2,736;0,027;0,010;0,0653250;6,562E-4;2,344E-4;6,4;6,4165649;73,400;2,860;0,039;-0,039;0,0682875;9,375E-4;-9,375E-4;2,6;2,6058960
73,600;2,969;0,027;0,020;0,0708750;6,563E-4;4,688E-4;0,4;0,3637085;73,600;2,435;0,024;0,029;0,0581250;5,625E-4;7,031E-4;1,9;1,9318085;73,600;2,743;0,031;0,020;0,0654750;7,500E-4;4,688E-4;10,9;10,9371185;73,600;2,865;0,024;-0,020;0,0684000;5,625E-4;-4,687E-4;1,8;1,8237610
73,800;2,975;0,035;0,049;0,0710250;8,437E-4;0,001;0,5;0,4987946;73,800;2,441;0,031;0,010;0,0582750;7,500E-4;2,344E-4;1,3;1,2724762;73,800;2,749;0,035;0,020;0,0656250;8,437E-4;4,687E-4;18,4;18,4157410;73,800;2,870;0,031;0,029;0,0685125;7,500E-4;7,031E-4;1,2;1,1816101
74,000;2,983;0,047;0,029;0,0712125;0,001;7,031E-4;1,2;1,2351532;74,000;2,447;0,027;-0,020;0,0584250;6,562E-4;-4,688E-4;0,9;0,8780670;74,000;2,757;0,039;-0,010;0,0658125;9,375E-4;-2,344E-4;24,7;24,6797943;74,000;2,878;0,035;-2,793E-15;0,0687000;8,437E-4;-6,641E-17;0,8;0,8370667
74,200;2,994;0,047;-0,029;0,0714750;0,001;-7,031E-4;1,8;1,8258972;74,200;2,452;0,024;-0,010;0,0585375;5,625E-4;-2,344E-4;0,6;0,6013336;74,200;2,765;0,031;-0,029;0,0660000;7,500E-4;-7,031E-4;23,8;23,7697449;74,200;2,884;0,031;-0,010;0,0688500;7,500E-4;-2,344E-4;0,6;0,6104889
74,400;3,002;0,035;-0,020;0,0716625;8,437E-4;-4,687E-4;1,9;1,9055939;74,400;2,457;0,024;2,099E-15;0,0586500;5,625E-4;5,014E-17;0,5;0,5421143;74,400;2,769;0,027;2,793E-15;0,0661125;6,562E-4;6,641E-17;14,7;14,7084198;74,400;2,890;0,031;2,793E-15;0,0690000;7,500E-4;6,641E-17;0,6;0,6006927
74,600;3,008;0,039;0,020;0,0718125;9,375E-4;4,688E-4;1,3;1,2900391;74,600;2,461;0,024;2,099E-15;0,0587625;5,625E-4;5,014E-17;0,5;0,5066528;74,600;2,776;0,031;0,010;0,0662625;7,500E-4;2,344E-4;6,9;6,9205475;74,600;2,897;0,031;2,793E-15;0,0691500;7,500E-4;6,641E-17;0,8;0,7599030
74,800;3,018;0,043;0,029;0,0720375;0,001;7,031E-4;0,5;0,5466003;74,800;2,466;0,024;-0,010;0,0588750;5,625E-4;-2,344E-4;0,5;0,4776611;74,800;2,782;0,031;-2,793E-15;0,0664125;7,500E-4;-6,641E-17;3,6;3,5501709;74,800;2,903;0,031;-0,010;0,0693000;7,500E-4;-2,344E-4;1,0;1,0224915
75,000;3,025;0,051;0,020;0,0722250;0,001;4,687E-4;0,3;0,2873993;75,000;2,471;0,020;-0,020;0,0589875;4,687E-4;-4,688E-4;0,5;0,4537811;75,000;2,788;0,031;-0,010;0,0665625;7,500E-4;-2,344E-4;2,3;2,2698822;75,000;2,909;0,027;-2,793E-15;0,0694500;6,562E-4;-6,641E-17;1,3;1,2920227
75,200;3,038;0,051;-0,029;0,0725250;0,001;-7,031E-4;0,3;0,2821350;75,200;2,474;0,016;-0,010;0,0590625;3,750E-4;-2,344E-4;0,5;0,4527588;75,200;2,794;0,027;-0,010;0,0667125;6,562E-4;-2,344E-4;1,7;1,7253265;75,200;2,914;0,031;0,020;0,0695625;7,500E-4;4,687E-4;1,6;1,5714111
75,400;3,046;0,039;-0,029;0,0727125;9,375E-4;-7,031E-4;0,2;0,2446289;75,400;2,477;0,016;0,020;0,0591375;3,750E-4;4,688E-4;0,5;0,5317841;75,400;2,799;0,027;2,446E-15;0,0668250;6,562E-4;5,828E-17;1,2;1,1705475;75,400;2,922;0,035;2,793E-15;0,0697500;8,437E-4;6,641E-17;1,9;1,8650360
75,600;3,054;0,039;0,010;0,0729000;9,375E-4;2,344E-4;0,3;0,2551117;75,600;2,480;0,024;0,020;0,0592125;5,625E-4;4,688E-4;0,7;0,7362518;75,600;2,805;0,027;2,446E-15;0,0669750;6,563E-4;5,828E-17;1,0;0,9868317;75,600;2,928;0,031;3,140E-15;0,0699000;7,500E-4;7,508E-17;1,9;1,9117737
75,800;3,061;0,043;0,020;0,0730875;0,001;4,688E-4;0,5;0,5378876;75,800;2,487;0,024;-0,020;0,0593625;5,625E-4;-4,688E-4;0,8;0,8244171;75,800;2,810;0,027;-2,446E-15;0,0670875;6,563E-4;-5,828E-17;0,9;0,8603973;75,800;2,934;0,035;0,010;0,0700500;8,437E-4;2,344E-4;1,6;1,6252899
76,000;3,071;0,047;0,010;0,0733125;0,001;2,344E-4;1,0;1,0091705;76,000;2,490;0,016;-0,010;0,0594375;3,750E-4;-2,344E-4;0,9;0,8763275;76,000;2,816;0,027;-2,446E-15;0,0672375;6,562E-4;-5,828E-17;1,0;0,9992981;76,000;2,942;0,035;-3,140E-15;0,0702375;8,437E-4;-7,508E-17;1,2;1,1939240
76,200;3,080;0,047;0,000;0,0735375;0,001;0,000;1,3;1,2888947;76,200;2,493;0,020;0,020;0,0595125;4,687E-4;4,688E-4;1,2;1,1699677;76,200;2,821;0,027;0,020;0,0673500;6,562E-4;4,687E-4;1,2;1,2035065;76,200;2,948;0,035;0,000;0,0703875;8,437E-4;0,000;0,8;0,7593994
76,400;3,090;0,047;0,020;0,0737625;0,001;4,687E-4;1,0;1,0039978;76,400;2,498;0,024;0,010;0,0596250;5,625E-4;2,344E-4;1,7;1,7263794;76,400;2,827;0,035;0,020;0,0675000;8,437E-4;4,687E-4;2,3;2,2939911;76,400;2,956;0,035;0,010;0,0705750;8,437E-4;2,344E-4;0,6;0,6214142
76,600;3,099;0,055;0,039;0,0739875;0,001;9,375E-4;0,3;0,3235016;76,600;2,502;0,024;2,099E-15;0,0597375;5,625E-4;5,014E-17;2,2;2,2105103;76,600;2,835;0,035;-0,010;0,0676875;8,437E-4;-2,344E-4;3,4;3,4380188;76,600;2,963;0,039;0,020;0,0707250;9,375E-4;4,688E-4;0,5;0,4534607
76,800;3,112;0,063;0,020;0,0742875;0,002;4,688E-4;0,2;0,2208710;76,800;2,507;0,024;-0,010;0,0598500;5,625E-4;-2,344E-4;3,2;3,1887360;76,800;2,842;0,031;-0,020;0,0678375;7,500E-4;-4,687E-4;3,9;3,8925629;76,800;2,972;0,043;0,010;0,0709500;0,001;2,344E-4;0,5;0,5136414
77,000;3,124;0,063;-0,010;0,0745875;0,002;-2,344E-4;0,2;0,2128296;77,000;2,512;0,020;-0,020;0,0599625;4,688E-4;-4,688E-4;3,6;3,6330719;77,000;2,848;0,027;-0,010;0,0679875;6,563E-4;-2,344E-4;3,5;3,5207825;77,000;2,980;0,043;-0,010;0,0711375;0,001;-2,344E-4;0,9;0,8989563
77,200;3,137;0,059;-0,010;0,0748875;0,001;-2,344E-4;0,2;0,2482605;77,200;2,515;0,016;-1,743E-15;0,0600375;3,750E-4;-4,161E-17;3,8;3,8081818;77,200;2,853;0,027;0,010;0,0681000;6,562E-4;2,344E-4;2,2;2,1673737;77,200;2,989;0,039;-0,020;0,0713625;9,375E-4;-4,688E-4;1,2;1,2431793
77,400;3,148;0,059;-0,010;0,0751500;0,001;-2,344E-4;0,5;0,5499268;77,400;2,518;0,020;0,010;0,0601125;4,687E-4;2,344E-4;3,6;3,5634003;77,400;2,859;0,031;0,020;0,0682500;7,500E-4;4,687E-4;1,1;1,1114655;77,400;2,996;0,035;0,010;0,0715125;8,437E-4;2,344E-4;1,6;1,6221313
77,600;3,160;0,055;-0,020;0,0754500;0,001;-4,687E-4;0,7;0,6857300;77,600;2,523;0,020;-0,010;0,0602250;4,687E-4;-2,344E-4;3,0;2,9625702;77,600;2,865;0,035;0,010;0,0684000;8,437E-4;2,344E-4;0,7;0,6880798;77,600;3,003;0,043;0,010;0,0717000;0,001;2,344E-4;1,8;1,8480835
77,800;3,170;0,051;-0,020;0,0756750;0,001;-4,687E-4;0,4;0,4311981;77,800;2,526;0,016;-0,010;0,0603000;3,750E-4;-2,344E-4;2,1;2,1360016;77,800;2,873;0,035;0,010;0,0685875;8,437E-4;2,344E-4;0,5;0,4707642;77,800;3,013;0,039;-0,010;0,0719250;9,375E-4;-2,344E-4;1,8;1,7605133
78,000;3,181;0,047;0,010;0,0759375;0,001;2,344E-4;0,2;0,2397156;78,000;2,529;0,016;-0,010;0,0603750;3,750E-4;-2,344E-4;1,6;1,6343231;78,000;2,879;0,039;0,010;0,0687375;9,375E-4;2,344E-4;0,4;0,4015350;78,000;3,019;0,039;0,020;0,0720750;9,375E-4;4,687E-4;1,3;1,2803955
78,200;3,189;0,055;0,029;0,0761250;0,001;7,031E-4;0,2;0,1519470;78,200;2,532;0,012;0,010;0,0604500;2,812E-4;2,344E-4;1,3;1,2982178;78,200;2,889;0,039;-0,020;0,0689625;9,375E-4;-4,688E-4;0,5;0,4922028;78,200;3,028;0,047;0,010;0,0723000;0,001;2,344E-4;0,8;0,7645721
78,400;3,203;0,059;-0,010;0,0764625;0,001;-2,344E-4;0,2;0,1634979;78,400;2,534;0,020;0,039;0,0604875;4,687E-4;9,375E-4;0,8;0,8152924;78,400;2,895;0,031;-0,029;0,0691125;7,500E-4;-7,031E-4;0,5;0,5398865;78,400;3,038;0,043;-0,020;0,0725250;0,001;-4,688E-4;0,6;0,5944366
78,600;3,212;0,051;-0,020;0,0766875;0,001;-4,687E-4;0,2;0,1688843;78,600;2,540;0,027;4,519E-15;0,0606375;6,562E-4;4,161E-17;0,7;0,7089996;78,600;2,901;0,027;2,793E-15;0,0692625;6,562E-4;6,641E-17;0,6;0,6052856;78,600;3,046;0,039;-0,020;0,0727125;9,375E-4;-4,687E-4;0,4;0,3786621
78,800;3,223;0,051;4,545E-15;0,0769500;0,001;1,084E-16;0,3;0,3259430;78,800;2,545;0,020;-0,020;0,0607500;4,688E-4;-4,687E-4;0,6;0,6374664;78,800;2,906;0,031;0,020;0,0693750;7,500E-4;4,688E-4;0,9;0,8521576;78,800;3,054;0,035;-0,010;0,0729000;8,437E-4;-2,344E-4;0,4;0,3780060
79,000;3,233;0,051;-4,545E-15;0,0771750;0,001;-1,084E-16;0,8;0,7923126;79,000;2,548;0,020;0,010;0,0608250;4,688E-4;2,344E-4;0,6;0,6405029;79,000;2,914;0,035;0,010;0,0695625;8,437E-4;2,344E-4;1,4;1,4016876;79,000;3,060;0,035;-3,140E-15;0,0730500;8,437E-4;-7,508E-17;0,5;0,5317841
79,200;3,244;0,051;0,010;0,0774375;0,001;2,344E-4;1,0;1,0388336;79,200;2,553;0,024;-1,743E-15;0,0609375;5,625E-4;-4,161E-17;0,7;0,6893768;79,200;2,920;0,035;-0,010;0,0697125;8,437E-4;-2,344E-4;2,0;1,9597473;79,200;3,068;0,035;0,010;0,0732375;8,437E-4;2,344E-4;0,7;0,7379150
79,400;3,253;0,055;-2,776E-15;0,0776625;0,001;-8,674E-17;0,7;0,6608734;79,400;2,557;0,020;-0,020;0,0610500;4,687E-4;-4,688E-4;0,8;0,7941132;79,400;2,928;0,031;-0,010;0,0699000;7,500E-4;-2,344E-4;1,9;1,9432373;79,400;3,074;0,039;0,010;0,0733875;9,375E-4;2,344E-4;1,0;1,0168915
79,600;3,266;0,051;-0,010;0,0779625;0,001;-2,344E-4;0,3;0,2688293;79,600;2,560;0,016;-0,010;0,0611250;3,750E-4;-2,344E-4;1,2;1,1794128;79,600;2,933;0,031;0,010;0,0700125;7,500E-4;2,344E-4;1,3;1,3455200;79,600;3,083;0,039;-0,010;0,0736125;9,375E-4;-2,344E-4;1,2;1,2320709
79,800;3,274;0,051;0,020;0,0781500;0,001;4,688E-4;0,1;0,1366882;79,800;2,564;0,016;1,396E-15;0,0612000;3,750E-4;3,320E-17;1,8;1,8176422;79,800;2,941;0,035;-0,010;0,0702000;8,437E-4;-2,344E-4;0,7;0,6633148;79,800;3,090;0,035;0,010;0,0737625;8,437E-4;2,344E-4;1,2;1,2156372
80,000;3,286;0,059;-1,769E-15;0,0784500;0,001;-2,168E-17;0,1;0,1301880;80,000;2,567;0,016;-1,396E-15;0,0612750;3,750E-4;-3,320E-17;2,6;2,6067963;80,000;2,947;0,027;-0,020;0,0703500;6,563E-4;-4,688E-4;0,4;0,4152374;80,000;3,098;0,043;0,010;0,0739500;0,001;2,344E-4;1,0;1,0404510
80,200;3,297;0,051;-0,029;0,0787125;0,001;-7,031E-4;0,1;0,1223450;80,200;2,570;0,016;-1,396E-15;0,0613500;3,750E-4;-3,320E-17;3,6;3,6130829;80,200;2,952;0,027;0,010;0,0704625;6,562E-4;2,344E-4;0,3;0,3426971;80,200;3,107;0,039;-0,020;0,0741750;9,375E-4;-4,688E-4;0,8;0,7864380
80,400;3,307;0,047;0,000;0,0789375;0,001;0,000;0,2;0,1600342;80,400;2,573;0,016;0,010;0,0614250;3,750E-4;2,344E-4;5,3;5,2551422;80,400;2,958;0,031;0,010;0,0706125;7,500E-4;2,344E-4;0,3;0,2705078;80,400;3,113;0,035;-2,776E-15;0,0743250;8,437E-4;-8,674E-17;0,5;0,4944916
80,600;3,316;0,051;0,020;0,0791625;0,001;4,688E-4;0,3;0,2848816;80,600;2,576;0,020;0,010;0,0615000;4,687E-4;2,344E-4;7,6;7,6349030;80,600;2,964;0,031;-0,010;0,0707625;7,500E-4;-2,344E-4;0,3;0,2531738;80,600;3,121;0,039;0,010;0,0745125;9,375E-4;2,344E-4;0,3;0,3435822
80,800;3,327;0,055;0,010;0,0794250;0,001;2,344E-4;0,4;0,3712921;80,800;2,581;0,020;-0,010;0,0616125;4,688E-4;-2,344E-4;10,7;10,6578064;80,800;2,970;0,027;2,793E-15;0,0709125;6,563E-4;6,641E-17;0,3;0,2621002;80,800;3,129;0,039;-0,010;0,0747000;9,375E-4;-2,344E-4;0,3;0,2547302
81,000;3,338;0,055;-0,020;0,0796875;0,001;-4,688E-4;0,3;0,2953949;81,000;2,584;0,016;-1,743E-15;0,0616875;3,750E-4;-4,161E-17;14,1;14,1133881;81,000;2,975;0,031;0,029;0,0710250;7,500E-4;7,031E-4;0,3;0,2990875;81,000;3,137;0,035;-0,020;0,0748875;8,437E-4;-4,688E-4;0,3;0,2515564
81,200;3,349;0,047;-0,020;0,0799500;0,001;-4,688E-4;0,2;0,2307587;81,200;2,587;0,020;0,010;0,0617625;4,687E-4;2,344E-4;19,9;19,8627930;81,200;2,983;0,039;0,010;0,0712125;9,375E-4;2,344E-4;0,4;0,3864594;81,200;3,143;0,031;0,010;0,0750375;7,500E-4;2,344E-4;0,3;0,3139343
81,400;3,357;0,047;0,039;0,0801375;0,001;9,375E-4;0,1;0,1235657;81,400;2,592;0,020;-0,010;0,0618750;4,687E-4;-2,344E-4;24,2;24,1553040;81,400;2,991;0,035;-0,020;0,0714000;8,437E-4;-4,687E-4;0,7;0,6711121;81,400;3,149;0,039;0,039;0,0751875;9,375E-4;9,375E-4;0,4;0,3596344
81,600;3,368;0,063;0,010;0,0804000;0,001;2,344E-4;0,1;0,1467285;81,600;2,595;0,016;-0,020;0,0619500;3,750E-4;-4,687E-4;26,2;26,1711121;81,600;2,997;0,031;-0,010;0,0715500;7,500E-4;-2,344E-4;1,0;0,9724731;81,600;3,159;0,047;0,020;0,0754125;0,001;4,688E-4;0,5;0,4612122
81,800;3,382;0,051;-0,069;0,0807375;0,001;-0,002;0,1;0,1382446;81,800;2,598;0,012;-0,010;0,0620250;2,813E-4;-2,344E-4;26,9;26,9391479;81,800;3,003;0,031;0,010;0,0717000;7,500E-4;2,344E-4;1,4;1,4395447;81,800;3,168;0,047;-0,010;0,0756375;0,001;-2,344E-4;0,5;0,5216675
82,000;3,388;0,035;-0,020;0,0808875;8,437E-4;-4,688E-4;0,2;0,1716461;82,000;2,600;0,012;0,010;0,0620625;2,813E-4;2,344E-4;26,5;26,5370941;82,000;3,010;0,035;0,020;0,0718500;8,437E-4;4,687E-4;1,6;1,6442871;82,000;3,178;0,043;-0,020;0,0758625;0,001;-4,688E-4;0,5;0,5146179
82,200;3,396;0,043;0,039;0,0810750;0,001;9,375E-4;0,2;0,2296600;82,200;2,603;0,016;-1,050E-15;0,0621375;3,750E-4;-2,507E-17;24,8;24,8307800;82,200;3,018;0,039;-0,010;0,0720375;9,375E-4;-2,344E-4;1,1;1,1495209;82,200;3,186;0,039;-0,010;0,0760500;9,375E-4;-2,344E-4;0,4;0,4428253
82,400;3,405;0,051;0,039;0,0813000;0,001;9,375E-4;0,4;0,3699799;82,400;2,606;0,012;-0,020;0,0622125;2,812E-4;-4,687E-4;20,9;20,9237671;82,400;3,025;0,031;-0,029;0,0722250;7,500E-4;-7,031E-4;0,7;0,6965485;82,400;3,193;0,039;0,010;0,0762375;9,375E-4;2,344E-4;0,3;0,3120728
82,600;3,416;0,059;-0,020;0,0815625;0,001;-4,687E-4;0,3;0,3036804;82,600;2,608;0,008;1,050E-15;0,0622500;1,875E-4;2,507E-17;16,7;16,7011261;82,600;3,030;0,027;0,020;0,0723375;6,562E-4;4,688E-4;0,4;0,4053192;82,600;3,201;0,043;6,262E-15;0,0764250;0,001;1,699E-16;0,2;0,2195435
82,800;3,429;0,043;-0,039;0,0818625;0,001;-9,375E-4;0,2;0,2144012;82,800;2,609;0,012;0,010;0,0622875;2,813E-4;2,344E-4;13,2;13,2443695;82,800;3,036;0,039;0,039;0,0724875;9,375E-4;9,375E-4;0,3;0,2510834;82,800;3,211;0,039;-0,029;0,0766500;9,375E-4;-7,031E-4;0,2;0,2085724
83,000;3,434;0,043;0,029;0,0819750;0,001;7,031E-4;0,1;0,1035767;83,000;2,612;0,012;-0,010;0,0623625;2,813E-4;-2,344E-4;10,5;10,4697418;83,000;3,046;0,043;-0,020;0,0727125;0,001;-4,688E-4;0,2;0,1941986;83,000;3,217;0,031;-0,010;0,0768000;7,500E-4;-2,344E-4;0,2;0,2247467
83,200;3,446;0,055;0,010;0,0822750;0,001;2,344E-4;0,1;0,0928345;83,200;2,614;0,008;-1,050E-15;0,0624000;1,875E-4;-2,507E-17;8,6;8,6155396;83,200;3,054;0,031;-0,029;0,0729000;7,500E-4;-7,031E-4;0,2;0,1900024;83,200;3,223;0,035;-2,793E-15;0,0769500;8,437E-4;-6,641E-17;0,3;0,2981110
83,400;3,456;0,047;-0,029;0,0825000;0,001;-7,031E-4;0,1;0,0977020;83,400;2,615;0,012;0,020;0,0624375;2,812E-4;4,687E-4;6,9;6,9297333;83,400;3,058;0,031;0,000;0,0730125;7,500E-4;0,000;0,2;0,1801300;83,400;3,231;0,031;-0,010;0,0771375;7,500E-4;-2,344E-4;0,4;0,3902435
83,600;3,465;0,043;0,010;0,0827250;0,001;2,344E-4;0,1;0,1053009;83,600;2,619;0,016;0,010;0,0625125;3,750E-4;2,344E-4;6,2;6,2078705;83,600;3,066;0,031;-0,010;0,0732000;7,500E-4;-2,344E-4;0,2;0,2080994;83,600;3,236;0,031;0,020;0,0772500;7,500E-4;4,688E-4;0,6;0,5629578
83,800;3,473;0,051;0,029;0,0829125;0,001;7,031E-4;0,2;0,1656647;83,800;2,622;0,016;1,396E-15;0,0625875;3,750E-4;7,657E-17;6,2;6,2364197;83,800;3,071;0,027;2,793E-15;0,0733125;6,563E-4;6,641E-17;0,4;0,3546448;83,800;3,244;0,039;0,020;0,0774375;9,375E-4;4,688E-4;0,7;0,7438965
84,000;3,486;0,055;-1,769E-15;0,0832125;0,001;-2,168E-17;0,4;0,3623962;84,000;2,625;0,016;-0,010;0,0626625;3,750E-4;-2,344E-4;6,3;6,3462677;84,000;3,077;0,031;0,010;0,0734625;7,500E-4;2,344E-4;0,7;0,7350311;84,000;3,252;0,039;-3,487E-15;0,0776250;9,375E-4;-8,321E-17;0,9;0,8891754
84,200;3,495;0,051;-0,020;0,0834375;0,001;-4,688E-4;0,6;0,5521698;84,200;2,628;0,012;-0,020;0,0627375;2,812E-4;-4,688E-4;6,4;6,3542633;84,200;3,083;0,031;-2,793E-15;0,0736125;7,500E-4;-6,641E-17;1,1;1,0664062;84,200;3,259;0,039;0,010;0,0778125;9,375E-4;2,344E-4;0,9;0,9073944
84,400;3,506;0,047;-0,010;0,0837000;0,001;-2,344E-4;0,5;0,5025482;84,400;2,630;0,008;0,010;0,0627750;1,875E-4;2,344E-4;6,2;6,2204437;84,400;3,090;0,031;-0,010;0,0737625;7,500E-4;-2,344E-4;1,2;1,2144623;84,400;3,267;0,043;0,010;0,0780000;0,001;2,344E-4;0,8;0,7888641
84,600;3,514;0,047;0,010;0,0838875;0,001;2,344E-4;0,4;0,3792572;84,600;2,631;0,016;0,029;0,0628125;3,750E-4;7,031E-4;5,8;5,7643585;84,600;3,096;0,027;2,793E-15;0,0739125;6,562E-4;6,641E-17;1,0;0,9971313;84,600;3,277;0,043;-0,020;0,0782250;0,001;-4,687E-4;0,6;0,5619659
84,800;3,525;0,051;0,020;0,0841500;0,001;4,688E-4;0,1;0,1480865;84,800;2,636;0,020;4,172E-15;0,0629250;4,688E-4;1,199E-16;5,6;5,5572815;84,800;3,101;0,031;0,010;0,0740250;7,500E-4;2,344E-4;0,8;0,7868042;84,800;3,285;0,035;-0,029;0,0784125;8,437E-4;-7,031E-4;0,4;0,3824158
