Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
18,200;0,173;0,004;-8,674E-17;0,0041250;9,375E-5;-2,101E-18;0,0;0,0300598;18,200;0,891;0,059;-0,029;0,0212625;0,001;-7,031E-4;0,0;0,0347443
18,400;0,174;0,004;8,674E-17;0,0041625;9,375E-5;2,101E-18;0,0;0,0309296;18,400;0,900;0,043;-0,059;0,0214875;0,001;-0,001;0,0;0,0345612
18,600;0,174;0,004;0,010;0,0041625;9,375E-5;2,344E-4;0,0;0,0305939;18,600;0,908;0,035;9,541E-16;0,0216750;8,438E-4;2,277E-17;0,0;0,0344391
18,800;0,176;0,008;-8,674E-17;0,0042000;1,875E-4;-2,101E-18;0,0;0,0304413;18,800;0,914;0,043;0,039;0,0218250;0,001;9,375E-4;0,0;0,0362396
19,000;0,178;0,004;-0,010;0,0042375;9,375E-5;-2,344E-4;0,0;0,0312653;19,000;0,925;0,051;0,010;0,0220875;0,001;2,344E-4;0,0;0,0382690
19,200;0,178;0,004;0,010;0,0042375;9,375E-5;2,344E-4;0,0;0,0311584;19,200;0,935;0,047;-0,020;0,0223125;0,001;-4,687E-4;0,0;0,0397186
19,400;0,179;0,008;0,020;0,0042750;1,875E-4;4,688E-4;0,0;0,0312195;19,400;0,944;0,043;-0,010;0,0225375;0,001;-2,344E-4;0,0;0,0405426
19,600;0,181;0,012;0,020;0,0043125;2,813E-4;4,688E-4;0,0;0,0309296;19,600;0,952;0,043;0,010;0,0227250;0,001;2,344E-4;0,0;0,0409546
19,800;0,184;0,016;-2,602E-16;0,0043875;3,750E-4;-6,234E-18;0,0;0,0310822;19,800;0,961;0,047;0,029;0,0229500;0,001;7,031E-4;0,0;0,0423737
20,000;0,187;0,012;-0,010;0,0044625;2,813E-4;-2,344E-4;0,0;0,0322266;20,000;0,971;0,055;0,020;0,0231750;0,001;4,687E-4;0,0;0,0417328
20,200;0,188;0,012;2,602E-16;0,0045000;2,813E-4;6,234E-18;0,0;0,0320129;20,200;0,983;0,055;-0,010;0,0234750;0,001;-2,344E-4;0,0;0,0419617
20,400;0,192;0,012;-0,010;0,0045750;2,813E-4;-2,344E-4;0,0;0,0316315;20,400;0,993;0,051;-0,010;0,0237000;0,001;-2,344E-4;0,0;0,0410004
20,600;0,193;0,008;-0,010;0,0046125;1,875E-4;-2,344E-4;0,0;0,0318451;20,600;1,004;0,051;-0,010;0,0239625;0,001;-2,344E-4;0,0;0,0386047
20,800;0,195;0,008;-1,735E-16;0,0046500;1,875E-4;-4,201E-18;0,0;0,0324249;20,800;1,013;0,047;-1,128E-15;0,0241875;0,001;-2,711E-17;0,0;0,0371552
21,000;0,196;0,008;-1,735E-16;0,0046875;1,875E-4;-4,201E-18;0,0;0,0316620;21,000;1,023;0,051;3,469E-16;0,0244125;0,001;-2,494E-17;0,0;0,0366516
21,200;0,198;0,008;-0,010;0,0047250;1,875E-4;-2,344E-4;0,0;0,0317078;21,200;1,034;0,047;-0,010;0,0246750;0,001;-2,344E-4;0,0;0,0367737
21,400;0,199;0,004;-0,010;0,0047625;9,375E-5;-2,344E-4;0,0;0,0327148;21,400;1,041;0,047;0,020;0,0248625;0,001;4,688E-4;0,0;0,0366821
21,600;0,199;0,004;0,000;0,0047625;9,375E-5;0,000;0,0;0,0323486;21,600;1,052;0,055;0,020;0,0251250;0,001;4,687E-4;0,0;0,0374146
21,800;0,201;0,004;-0,010;0,0048000;9,375E-5;-2,344E-4;0,0;0,0322266;21,800;1,063;0,055;-0,010;0,0253875;0,001;-2,344E-4;0,0;0,0390167
22,000;0,201;0,000;-8,674E-17;0,0048000;0,000;-2,101E-18;0,0;0,0324249;22,000;1,074;0,051;-0,020;0,0256500;0,001;-4,688E-4;0,0;0,0400085
22,200;0,201;0,004;0,010;0,0048000;9,375E-5;2,344E-4;0,0;0,0327454;22,200;1,084;0,047;1,128E-15;0,0258750;0,001;2,711E-17;0,0;0,0436707
22,400;0,203;0,004;8,674E-17;0,0048375;9,375E-5;2,101E-18;0,0;0,0323639;22,400;1,093;0,051;-0,010;0,0261000;0,001;-2,344E-4;0,0;0,0453186
22,600;0,203;0,004;0,010;0,0048375;9,375E-5;2,344E-4;0,0;0,0328369;22,600;1,104;0,043;-0,029;0,0263625;0,001;-7,031E-4;0,0;0,0466309
22,800;0,204;0,008;-8,674E-17;0,0048750;1,875E-4;-2,101E-18;0,0;0,0334778;22,800;1,111;0,039;0,029;0,0265125;9,375E-4;7,031E-4;0,0;0,0472412
23,000;0,206;0,004;-0,010;0,0049125;9,375E-5;-2,344E-4;0,0;0,0341797;23,000;1,120;0,055;0,020;0,0267375;0,001;4,687E-4;0,0;0,0472412
23,200;0,206;0,004;8,674E-17;0,0049125;9,375E-5;2,101E-18;0,0;0,0338440;23,200;1,133;0,047;-0,039;0,0270375;0,001;-9,375E-4;0,0;0,0467529
23,400;0,207;0,004;8,674E-17;0,0049500;9,375E-5;2,101E-18;0,0;0,0335693;23,400;1,139;0,039;0,010;0,0271875;9,375E-4;2,344E-4;0,0;0,0458374
23,600;0,207;0,004;0,010;0,0049500;9,375E-5;2,344E-4;0,0;0,0335388;23,600;1,148;0,051;0,039;0,0274125;0,001;9,375E-4;0,0;0,0438385
23,800;0,209;0,008;0,010;0,0049875;1,875E-4;2,344E-4;0,0;0,0336761;23,800;1,159;0,055;-1,128E-15;0,0276750;0,001;-2,711E-17;0,0;0,0428314
24,000;0,210;0,008;-0,010;0,0050250;1,875E-4;-2,344E-4;0,0;0,0335388;24,000;1,170;0,051;-0,020;0,0279375;0,001;-4,688E-4;0,0;0,0402222
24,200;0,212;0,004;-0,010;0,0050625;9,375E-5;-2,344E-4;0,0;0,0330505;24,200;1,180;0,047;-0,010;0,0281625;0,001;-2,344E-4;0,0;0,0384064
24,400;0,212;0,004;0,010;0,0050625;9,375E-5;2,344E-4;0,0;0,0337982;24,400;1,189;0,047;1,041E-15;0,0283875;0,001;2,494E-17;0,0;0,0382538
24,600;0,214;0,008;0,010;0,0051000;1,875E-4;2,344E-4;0,0;0,0339661;24,600;1,199;0,047;-0,010;0,0286125;0,001;-2,344E-4;0,0;0,0390778
24,800;0,215;0,008;-0,010;0,0051375;1,875E-4;-2,344E-4;0,0;0,0330353;24,800;1,208;0,043;3,469E-16;0,0288375;0,001;-2,494E-17;0,0;0,0392151
25,000;0,217;0,004;-0,010;0,0051750;9,375E-5;-2,344E-4;0,0;0,0339661;25,000;1,216;0,047;0,039;0,0290250;0,001;9,375E-4;0,0;0,0419159
25,200;0,217;0,004;0,010;0,0051750;9,375E-5;2,344E-4;0,0;0,0337524;25,200;1,227;0,059;0,010;0,0292875;0,001;2,344E-4;0,0;0,0456085
25,400;0,218;0,008;0,020;0,0052125;1,875E-4;4,688E-4;0,0;0,0335388;25,400;1,239;0,051;-0,039;0,0295875;0,001;-9,375E-4;0,0;0,0484772
25,600;0,220;0,012;0,000;0,0052500;2,813E-4;0,000;0,0;0,0327911;25,600;1,247;0,043;-0,020;0,0297750;0,001;-4,688E-4;0,1;0,0500793
25,800;0,223;0,008;-0,020;0,0053250;1,875E-4;-4,688E-4;0,0;0,0346069;25,800;1,257;0,043;-0,010;0,0300000;0,001;-2,344E-4;0,1;0,0521545
26,000;0,223;0,004;-1,735E-16;0,0053250;9,375E-5;-4,201E-18;0,0;0,0343475;26,000;1,264;0,039;-0,010;0,0301875;9,375E-4;-2,344E-4;0,1;0,0533142
26,200;0,225;0,008;0,010;0,0053625;1,875E-4;2,344E-4;0,0;0,0328369;26,200;1,272;0,039;0,010;0,0303750;9,375E-4;2,344E-4;0,1;0,0533600
26,400;0,226;0,008;1,735E-16;0,0054000;1,875E-4;4,201E-18;0,0;0,0321960;26,400;1,280;0,043;0,010;0,0305625;0,001;2,344E-4;0,1;0,0521240
26,600;0,228;0,008;0,000;0,0054375;1,875E-4;0,000;0,0;0,0331116;26,600;1,290;0,043;0,010;0,0307875;0,001;2,344E-4;0,1;0,0510559
26,800;0,229;0,008;-1,735E-16;0,0054750;1,875E-4;-4,201E-18;0,0;0,0334778;26,800;1,297;0,047;0,010;0,0309750;0,001;2,344E-4;0,0;0,0479126
27,000;0,231;0,008;-1,735E-16;0,0055125;1,875E-4;-4,201E-18;0,0;0,0334473;27,000;1,308;0,047;-0,020;0,0312375;0,001;-4,688E-4;0,0;0,0450745
27,200;0,232;0,008;1,735E-16;0,0055500;1,875E-4;4,201E-18;0,0;0,0333710;27,200;1,316;0,039;1,041E-15;0,0314250;9,375E-4;4,662E-17;0,0;0,0419922
