Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
17,600;0,817;0,039;-0,010;0,0195000;9,375E-4;-2,344E-4;0,0;0,0403290;17,600;0,752;0,047;-0,020;0,0179625;0,001;-4,687E-4;0,0;0,0446777
17,800;0,823;0,043;0,029;0,0196500;0,001;7,031E-4;0,0;0,0406647;17,800;0,762;0,043;-0,010;0,0181875;0,001;-2,344E-4;0,1;0,0599976
18,000;0,834;0,051;0,010;0,0199125;0,001;2,344E-4;0,1;0,0501556;18,000;0,770;0,043;-9,541E-16;0,0183750;0,001;-2,277E-17;0,1;0,0718536
18,200;0,844;0,047;-0,020;0,0201375;0,001;-4,688E-4;0,1;0,0663757;18,200;0,779;0,043;-9,541E-16;0,0186000;0,001;-2,277E-17;0,1;0,0920868
18,400;0,853;0,043;-0,020;0,0203625;0,001;-4,687E-4;0,1;0,0723267;18,400;0,787;0,043;9,541E-16;0,0187875;0,001;2,277E-17;0,1;0,0801239
18,600;0,861;0,039;0,020;0,0205500;9,375E-4;4,688E-4;0,1;0,0783081;18,600;0,796;0,043;-0,020;0,0190125;0,001;-4,687E-4;0,1;0,0540314
18,800;0,869;0,051;0,039;0,0207375;0,001;9,375E-4;0,1;0,0580444;18,800;0,804;0,035;-0,010;0,0192000;8,438E-4;-2,344E-4;0,0;0,0433960
19,000;0,881;0,055;-0,020;0,0210375;0,001;-4,688E-4;0,0;0,0421143;19,000;0,811;0,039;0,020;0,0193500;9,375E-4;4,687E-4;0,0;0,0402069
19,200;0,891;0,043;-0,049;0,0212625;0,001;-0,001;0,0;0,0405884;19,200;0,820;0,043;0,029;0,0195750;0,001;7,031E-4;0,0;0,0369568
19,400;0,898;0,035;0,010;0,0214500;8,438E-4;2,344E-4;0,0;0,0410767;19,400;0,828;0,051;0,020;0,0197625;0,001;4,688E-4;0,0;0,0374146
19,600;0,905;0,047;0,049;0,0216000;0,001;0,001;0,0;0,0426941;19,600;0,840;0,051;-0,029;0,0200625;0,001;-7,031E-4;0,0;0,0423279
19,800;0,917;0,055;-0,010;0,0219000;0,001;-2,344E-4;0,1;0,0547180;19,800;0,848;0,039;-0,010;0,0202500;9,375E-4;-2,344E-4;0,0;0,0465546
20,000;0,927;0,043;-0,029;0,0221250;0,001;-7,031E-4;0,1;0,0669098;20,000;0,856;0,047;0,020;0,0204375;0,001;4,687E-4;0,1;0,0625610
20,200;0,935;0,043;-0,010;0,0223125;0,001;-2,344E-4;0,1;0,0689240;20,200;0,867;0,047;1,041E-15;0,0207000;0,001;2,494E-17;0,1;0,0622711
20,400;0,944;0,039;9,541E-16;0,0225375;9,375E-4;2,277E-17;0,1;0,0633392;20,400;0,875;0,047;-0,010;0,0208875;0,001;-2,344E-4;0,0;0,0450592
20,600;0,950;0,043;0,029;0,0226875;0,001;7,031E-4;0,0;0,0445709;20,600;0,886;0,043;-0,020;0,0211500;0,001;-4,687E-4;0,0;0,0404663
20,800;0,961;0,051;0,010;0,0229500;0,001;2,344E-4;0,0;0,0408173;20,800;0,892;0,039;0,010;0,0213000;9,375E-4;2,344E-4;0,0;0,0403290
21,000;0,971;0,047;-0,020;0,0231750;0,001;-4,688E-4;0,0;0,0421295;21,000;0,902;0,047;0,020;0,0215250;0,001;4,687E-4;0,0;0,0406494
21,200;0,980;0,043;0,010;0,0234000;0,001;2,344E-4;0,0;0,0444183;21,200;0,911;0,047;1,041E-15;0,0217500;0,001;2,494E-17;0,0;0,0428772
21,400;0,988;0,051;0,029;0,0235875;0,001;7,031E-4;0,0;0,0467529;21,400;0,920;0,047;1,041E-15;0,0219750;0,001;2,494E-17;0,0;0,0453796
21,600;1,001;0,055;-0,020;0,0238875;0,001;-4,688E-4;0,1;0,0666199;21,600;0,930;0,047;0,010;0,0222000;0,001;2,344E-4;0,1;0,0508728
21,800;1,010;0,043;-0,039;0,0241125;0,001;-9,375E-4;0,1;0,0970459;21,800;0,939;0,051;-1,041E-15;0,0224250;0,001;-2,494E-17;0,1;0,0674896
22,000;1,018;0,039;-0,020;0,0243000;9,375E-4;-4,688E-4;0,1;0,1141205;22,000;0,950;0,047;-0,020;0,0226875;0,001;-4,688E-4;0,1;0,0615540
22,200;1,026;0,035;0,010;0,0244875;8,437E-4;2,344E-4;0,1;0,1309814;22,200;0,958;0,043;-0,010;0,0228750;0,001;-2,344E-4;0,0;0,0430756
22,400;1,032;0,043;0,059;0,0246375;0,001;0,001;0,1;0,0927429;22,400;0,968;0,043;0,010;0,0231000;0,001;2,344E-4;0,0;0,0397186
22,600;1,043;0,059;0,020;0,0249000;0,001;4,688E-4;0,1;0,0523071;22,600;0,975;0,047;0,020;0,0232875;0,001;4,687E-4;0,0;0,0402832
22,800;1,056;0,051;-0,059;0,0252000;0,001;-0,001;0,0;0,0493622;22,800;0,986;0,051;-0,010;0,0235500;0,001;-2,344E-4;0,0;0,0423737
23,000;1,063;0,035;-0,029;0,0253875;8,437E-4;-7,031E-4;0,0;0,0494385;23,000;0,996;0,043;-0,029;0,0237750;0,001;-7,031E-4;0,0;0,0440369
23,200;1,070;0,039;0,020;0,0255375;9,375E-4;4,688E-4;0,0;0,0470123;23,200;1,004;0,039;9,541E-16;0,0239625;9,375E-4;2,277E-17;0,1;0,0508270
23,400;1,079;0,043;0,020;0,0257625;0,001;4,688E-4;0,0;0,0465240;23,400;1,012;0,043;0,029;0,0241500;0,001;7,031E-4;0,1;0,0626221
23,600;1,087;0,047;0,000;0,0259500;0,001;0,000;0,1;0,0553131;23,600;1,021;0,051;0,010;0,0243750;0,001;2,344E-4;0,1;0,1044312
23,800;1,098;0,043;-0,029;0,0262125;0,001;-7,031E-4;0,1;0,0596619;23,800;1,032;0,047;-0,010;0,0246375;0,001;-2,344E-4;0,1;0,1137695
24,000;1,104;0,035;0,010;0,0263625;8,437E-4;2,344E-4;0,1;0,0669250;24,000;1,040;0,047;0,020;0,0248250;0,001;4,687E-4;0,1;0,0693512
24,200;1,112;0,047;0,039;0,0265500;0,001;9,375E-4;0,1;0,0666962;24,200;1,051;0,055;0,020;0,0250875;0,001;4,688E-4;0,0;0,0467224
24,400;1,123;0,051;-0,010;0,0268125;0,001;-2,344E-4;0,1;0,0531006;24,400;1,062;0,055;-0,049;0,0253500;0,001;-0,001;0,0;0,0431213
24,600;1,133;0,043;-0,029;0,0270375;0,001;-7,031E-4;0,0;0,0457001;24,600;1,073;0,035;-0,049;0,0256125;8,437E-4;-0,001;0,0;0,0412140
24,800;1,140;0,039;-0,010;0,0272250;9,375E-4;-2,344E-4;0,0;0,0461884;24,800;1,076;0,035;0,039;0,0256875;8,437E-4;9,375E-4;0,0;0,0408325
25,000;1,148;0,039;0,010;0,0274125;9,375E-4;2,344E-4;0,0;0,0495605;25,000;1,087;0,051;0,059;0,0259500;0,001;0,001;0,0;0,0421906
25,200;1,156;0,043;0,029;0,0276000;0,001;7,031E-4;0,1;0,0534973;25,200;1,096;0,059;1,128E-15;0,0261750;0,001;4,879E-17;0,0;0,0482941
25,400;1,166;0,051;0,020;0,0278250;0,001;4,688E-4;0,1;0,0850677;25,400;1,111;0,051;-0,049;0,0265125;0,001;-0,001;0,0;0,0485687
25,600;1,177;0,051;-0,029;0,0280875;0,001;-7,031E-4;0,1;0,1050720;25,600;1,117;0,039;-0,039;0,0266625;9,375E-4;-9,375E-4;0,0;0,0454102
25,800;1,186;0,039;-0,020;0,0283125;9,375E-4;-4,688E-4;0,1;0,1304016;25,800;1,126;0,035;-0,010;0,0268875;8,438E-4;-2,344E-4;0,0;0,0435791
26,000;1,192;0,043;0,039;0,0284625;0,001;9,375E-4;0,1;0,1088562;26,000;1,131;0,035;0,049;0,0270000;8,437E-4;0,001;0,0;0,0456085
26,200;1,203;0,055;0,029;0,0287250;0,001;7,031E-4;0,1;0,0659485;26,200;1,140;0,055;0,049;0,0272250;0,001;0,001;0,0;0,0468903
26,400;1,214;0,055;-0,010;0,0289875;0,001;-2,344E-4;0,0;0,0495148;26,400;1,153;0,055;-0,039;0,0275250;0,001;-9,375E-4;0,0;0,0482941
26,600;1,225;0,051;-0,010;0,0292500;0,001;-2,344E-4;0,0;0,0487671;26,600;1,162;0,039;-0,029;0,0277500;9,375E-4;-7,031E-4;0,1;0,0509033
26,800;1,235;0,051;-1,128E-15;0,0294750;0,001;-2,711E-17;0,1;0,0514984;26,800;1,169;0,043;0,049;0,0279000;0,001;0,001;0,1;0,0616302
27,000;1,246;0,051;-0,010;0,0297375;0,001;-2,344E-4;0,1;0,0634613;27,000;1,180;0,059;0,029;0,0281625;0,001;7,031E-4;0,1;0,1083832
27,200;1,255;0,047;-0,010;0,0299625;0,001;-2,344E-4;0,1;0,1024780;27,200;1,192;0,055;-0,029;0,0284625;0,001;-7,031E-4;0,1;0,1187439
27,400;1,264;0,047;0,010;0,0301875;0,001;2,344E-4;0,1;0,1450500;27,400;1,202;0,047;-0,029;0,0286875;0,001;-7,031E-4;0,1;0,0894470
27,600;1,274;0,051;0,010;0,0304125;0,001;2,344E-4;0,1;0,1492615;27,600;1,211;0,043;0,010;0,0289125;0,001;2,344E-4;0,1;0,0592041
27,800;1,285;0,051;-1,128E-15;0,0306750;0,001;-2,711E-17;0,1;0,1094360;27,800;1,219;0,051;0,039;0,0291000;0,001;9,375E-4;0,0;0,0419312
28,000;1,294;0,051;0,010;0,0309000;0,001;2,344E-4;0,1;0,0606842;28,000;1,232;0,059;-1,128E-15;0,0294000;0,001;-4,879E-17;0,0;0,0409851
